,GAZP.ME,LKOH.ME,ROSN.ME
2022-08-18,277.008001954541,4591.486506996858,410.1711722625918
2022-08-19,277.17740997471566,4594.372686633348,410.34380412642065
2022-08-22,277.34692159867467,4597.260680504265,410.5165086471362
2022-08-23,277.51653688977837,4600.150489750026,410.6892858553182
2022-08-24,277.68625591142575,4603.042115511765,410.8621357815591
2022-08-25,277.8560787270547,4605.93555893133,411.03505845646436
2022-08-26,278.0260054001418,4608.830821151291,411.2080539106522
2022-08-29,278.19603599420253,4611.727903314935,411.38112217475384
2022-08-30,278.3661705727912,4614.626806566267,411.55426327941336
2022-08-31,278.5364091995009,4617.52753205001,411.7274772552877
2022-09-01,278.7067519379637,4620.43008091161,411.90076413304666
2022-09-02,278.8771988518506,4623.33445429723,412.0741239433731
2022-09-05,279.0477500048715,4626.240653353753,412.24755671696266
2022-09-06,279.21840546077516,4629.148679228786,412.421062484524
2022-09-07,279.38916528334954,4632.058533070654,412.59464127677853
2022-09-08,279.56002953642144,4634.970216028408,412.7682931244608
2022-09-09,279.7309982838568,4637.8837292518165,412.9420180583182
2022-09-12,279.9020715895606,4640.799073891374,413.11581610911105
2022-09-13,280.07324951747677,4643.716251098297,413.2896873076126
2022-09-14,280.2445321315885,4646.635262024526,413.46363168460914
2022-09-15,280.4159194959181,4649.556107822726,413.63764927089983
2022-09-16,280.58741167452695,4652.478789646284,413.8117400972968
2022-09-19,280.7590087315156,4655.403308649316,413.9859041946252
2022-09-20,280.93071073102396,4658.329665986661,414.16014159372315
2022-09-21,281.10251773723104,4661.2578628138845,414.3344523254417
2022-09-22,281.2744298143551,4664.187900287278,414.5088364206449
2022-09-23,281.44644702665363,4667.119779563861,414.6832939102098
2022-09-26,281.61856943842355,4670.053501801378,414.85782482502646
2022-09-27,281.790797114001,4672.989068158304,415.0324291959979
2022-09-28,281.9631301177615,4675.9264797938395,415.2071070540402
2022-09-29,282.13556851412,4678.865737867916,415.3818584300824
2022-09-30,282.30811236753067,4681.806843541193,415.5566833550666
2022-10-03,282.4807617424873,4684.749797975061,415.7315818599478
2022-10-04,282.65351670352294,4687.694602331637,415.9065539756943
2022-10-05,282.82637731521027,4690.641257773772,416.08159973328713
2022-10-06,282.99934364216136,4693.589765465047,416.25671916372056
2022-10-07,283.17241574902783,4696.540126569774,416.43191229800186
2022-10-10,283.34559370050084,4699.492342252996,416.6071791671513
2022-10-11,283.5188775613111,4702.446413680492,416.7825198022022
