,NLMK.ME,GMKN.ME,CHMF.ME
2022-08-09,170.67075313868477,21910.8651515722,1205.936227289387
2022-08-10,170.83981029851245,21922.11816091715,1206.967526168016
2022-08-11,171.00903491716224,21933.37694959662,1207.9997069982385
2022-08-12,171.17842716050973,21944.641520578763,1209.032770534286
2022-08-15,171.34798719459482,21955.911876833266,1210.0667175310361
2022-08-16,171.5177151856219,21967.188021331338,1211.1015487440109
2022-08-17,171.68761129995997,21978.46995704571,1212.1372649293792
2022-08-18,171.85767570414282,21989.75768695064,1213.1738668439564
2022-08-19,172.02790856486922,22001.051214021918,1214.211355245205
2022-08-22,172.19831004900306,22012.35054123686,1215.2497308912352
2022-08-23,172.3688803235735,22023.65567157431,1216.288994540806
2022-08-24,172.53961955577518,22034.966608014645,1217.3291469533249
2022-08-25,172.7105279129683,22046.28335353977,1218.3701888888486
2022-08-26,172.8816055626789,22057.60591113312,1219.4121211080842
2022-08-29,173.05285267259896,22068.934283779665,1220.454944372389
2022-08-30,173.2242694105865,22080.268474465905,1221.4986594437719
2022-08-31,173.39585594466584,22091.60848617988,1222.543267084893
2022-09-01,173.56761244302777,22102.95432191116,1223.5887680590647
2022-09-02,173.73953907402966,22114.305984650848,1224.6351631302525
2022-09-05,173.91163600619566,22125.663477391587,1225.682453063075
2022-09-06,174.0839034082168,22137.02680312756,1226.7306386228045
2022-09-07,174.25634144895125,22148.39596485448,1227.7797205753677
2022-09-08,174.42895029742445,22159.770965569605,1228.8296996873469
2022-09-09,174.60173012282925,22171.15180827173,1229.8805767259796
2022-09-12,174.77468109452607,22182.538495961187,1230.9323524591593
2022-09-13,174.94780338204313,22193.931031639855,1231.9850276554364
2022-09-14,175.12109715507657,22205.32941831115,1233.0386030840184
2022-09-15,175.29456258349057,22216.733658980032,1234.0930795147706
2022-09-16,175.46819983731766,22228.143756653004,1235.1484577182168
2022-09-19,175.6420090867587,22239.559714338113,1236.20473846554
2022-09-20,175.8159905021832,22250.981535044953,1237.261922528582
2022-09-21,175.99014425412943,22262.40922178466,1238.3200106798456
2022-09-22,176.16447051330456,22273.84277756992,1239.3790036924931
