,AAPL,MSFT,NVDA
2022-09-13,253.79827646507658,467.3334081845662,172.09671819893506
2022-09-14,253.6866406430584,467.2359676322387,172.0172761325377
2022-09-15,253.5759460116115,467.139348591568,171.93850383434292
2022-09-16,253.46618463565127,467.0435441364707,171.86039565760126
2022-09-19,253.35734864699305,466.9485473992563,171.78294600317045
2022-09-20,253.24943024378805,466.8543515701354,171.70614931911402
2022-09-21,253.1424216899641,466.76094989673095,171.63000010030336
2022-09-22,253.03631531467107,466.6683356835947,171.55449288802305
2022-09-23,252.931103511731,466.57650229172714,171.47962226957952
2022-09-26,252.8267787390929,466.48544313810123,171.40538287791313
2022-09-27,252.72333351829204,466.3951516951911,171.33176939121336
2022-09-28,252.6207604339139,466.30562149050354,171.25877653253735
2022-09-29,252.51905213306253,466.2168461061145,171.18639906943164
2022-09-30,252.41820132483363,466.12881917820863,171.11463181355705
2022-10-03,252.31820077979174,466.04153439662343,171.04346962031678
2022-10-04,252.219043329452,465.9549855043967,170.97290738848764
2022-10-05,252.12072186576643,465.869166297318,170.90294005985433
2022-10-06,252.02322934061422,465.78407062348407,170.83356261884686
2022-10-07,251.92655876529662,465.69969238285773,170.76477009218098
2022-10-10,251.8307032100359,465.6160255268305,170.69655754850177
2022-10-11,251.73565580347855,465.5330640577893,170.62892009803005
