Date,XOM,CVX,COP
2016-03-02,53.85108947753906,57.52922821044922,27.056888580322266
2016-03-03,53.65575408935547,57.78667831420898,28.591766357421875
2016-03-04,53.5841064453125,58.050777435302734,30.48998260498047
2016-03-07,54.99715805053711,59.85969161987305,30.697587966918945
2016-03-08,53.80552673339844,58.58551788330078,28.63625144958496
2016-03-09,53.65575408935547,61.27911376953125,28.95509910583496
2016-03-10,53.51247787475586,62.01853942871094,28.940269470214844
2016-03-11,53.51900863647461,62.44104766845703,30.045076370239254
2016-03-14,53.66226959228516,62.229793548583984,29.666921615600582
2016-03-15,53.92922592163086,62.23638153076172,29.533456802368164
2016-03-16,53.961795806884766,62.9824104309082,31.046092987060547
2016-03-17,54.762733459472656,63.96610641479492,31.891382217407227
2016-03-18,54.827857971191406,64.4942398071289,31.89879608154297
2016-03-21,54.45018005371094,63.66901397705078,31.572546005249023
2016-03-22,54.77574920654297,63.04840469360352,31.08316421508789
2016-03-23,54.53483200073242,61.78745269775391,29.548282623291016
2016-03-24,54.6845932006836,62.6192741394043,29.689170837402344
2016-03-28,54.84086608886719,62.50706481933594,29.422252655029297
2016-03-29,55.04273223876953,62.92959976196289,29.37775230407715
2016-03-30,55.03620529174805,62.88336944580078,29.718828201293945
2016-03-31,54.43062973022461,62.9824104309082,29.85972023010254
2016-04-01,54.02042007446289,62.229793548583984,29.496381759643555
2016-04-04,54.150657653808594,61.681827545166016,28.99217414855957
