Date,SBER.ME,VTBR.ME,TCSG.ME
2020-05-27,171.5536651611328,568.255615234375,1245.3209228515625
2020-05-28,177.16236877441406,577.568603515625,1272.853271484375
2020-05-29,173.2734375,583.0280151367188,1252.6588134765625
2020-06-01,176.00433349609375,588.3267822265625,1203.4722900390625
2020-06-02,183.21180725097656,596.99755859375,1258.2572021484375
2020-06-03,191.4217834472656,609.8432006835938,1235.2635498046875
2020-06-04,184.16244506835935,596.5158081054688,1214.669189453125
2020-06-05,189.34768676757807,603.7415161132812,1222.067138671875
2020-06-08,190.38473510742188,605.3472290039062,1246.46044921875
2020-06-09,187.7316131591797,605.3472290039062,1213.66943359375
2020-06-10,183.6698455810547,603.4203491210938,1210.8701171875
2020-06-11,180.05746459960938,590.0930786132812,1204.671875
2020-06-15,179.16732788085938,591.6987915039062,1249.65966796875
2020-06-16,179.54757690429688,592.1805419921875,1312.442626953125
2020-06-17,179.8759765625,586.078857421875,1309.2432861328125
2020-06-18,176.09939575195312,576.4447021484375,1334.636474609375
2020-06-19,178.89077758789062,566.168212890625,1335.036376953125
2020-06-22,177.9747314453125,569.3795776367188,1368.627197265625
2020-06-23,179.24510192871094,571.6275634765625,1435.8089599609375
2020-06-25,177.55125427246094,568.8978881835938,1457.003173828125
2020-06-26,175.7537078857422,565.204833984375,1461.8018798828125
2020-06-29,177.3611297607422,568.4161987304688,1457.6029052734375
2020-06-30,175.49444580078125,562.6356811523438,1437.2086181640625
2020-07-02,181.13772583007807,568.4161987304688,1446.60595703125
2020-07-03,182.0797119140625,571.1458740234375,1455.603515625
2020-07-06,185.2945556640625,576.9263916015625,1503.390625
2020-07-07,182.97848510742188,574.5178833007812,1489.59423828125
2020-07-08,181.3537750244141,568.4161987304688,1459.6025390625
2020-07-09,180.56735229492188,563.59912109375,1469.7996826171875
2020-07-10,183.3414459228516,564.8836059570312,1503.9903564453125
2020-07-13,181.526611328125,564.8836059570312,1540.180419921875
2020-07-14,180.51548767089844,558.7820434570312,1531.182861328125
2020-07-15,181.91549682617188,560.0665893554688,1582.5689697265625
2020-07-16,182.9352569580078,557.9791870117188,1615.3599853515625
2020-07-17,182.1488494873047,558.9425659179688,1655.34912109375
2020-07-20,183.7649078369141,590.4141845703125,1660.7476806640625
2020-07-21,186.84149169921875,610.1642456054688,1722.1309814453125
2020-07-22,187.5501251220703,608.3980102539062,1769.51806640625
2020-07-23,187.4464111328125,605.9894409179688,1755.5218505859375
2020-07-24,186.3661651611328,608.076904296875,1775.3165283203125
2020-07-27,186.66864013671875,624.4549560546875,1832.301025390625
2020-07-28,186.72048950195312,623.9732666015625,1804.1085205078125
2020-07-29,188.78594970703125,629.2720947265625,1817.5048828125
2020-07-30,187.7834625244141,616.1053466796875,1777.715576171875
2020-07-31,190.81683349609372,620.1195678710938,1869.0908203125
2020-08-03,196.08848571777344,640.0302124023438,1888.485595703125
2020-08-04,196.1662750244141,648.700927734375,1883.8868408203125
2020-08-05,195.51812744140625,617.87158203125,1913.2789306640625
2020-08-06,194.65391540527344,608.3980102539062,1938.671875
2020-08-07,196.01071166992188,589.1296997070312,1914.6783447265625
2020-08-10,194.7230529785156,587.6845703125,1815.3055419921875
2020-08-11,202.4317779541016,597.9609375,1804.508544921875
2020-08-12,207.6688690185547,602.29638671875,1765.51904296875
2020-08-13,209.0775146484375,605.1865844726562,1768.5184326171875
2020-08-14,207.0639190673828,605.8289184570312,1706.93505859375
2020-08-17,204.99847412109372,603.4203491210938,1780.3150634765625
2020-08-18,204.08241271972656,600.3695678710938,1782.114501953125
2020-08-19,207.0725555419922,602.6174926757812,1845.697265625
2020-08-20,199.89100646972656,591.217041015625,1826.1004638671875
2020-08-21,199.9342193603516,583.34912109375,1878.69189453125
2020-08-24,199.7181701660156,582.5463256835938,1926.6839599609373
2020-08-25,196.50331115722656,574.1966552734375,1994.2728271484373
2020-08-26,196.9095001220703,578.5320434570312,1989.2735595703125
2020-08-27,196.05392456054688,580.1377563476562,1922.6845703125
2020-08-28,195.4835357666016,575.4812622070312,1835.8988037109373
2020-08-31,195.13787841796875,567.77392578125,1906.8870849609373
2020-09-01,196.41688537597656,577.8898315429688,1814.3023681640625
2020-09-02,192.31190490722656,569.2190551757812,1840.697998046875
2020-09-03,189.43411254882807,565.6864624023438,1802.7042236328125
2020-09-04,190.5662078857422,566.168212890625,1799.7047119140625
2020-09-07,190.98968505859372,564.7230834960938,1886.29052734375
2020-09-08,188.45755004882807,557.6580200195312,1840.89794921875
2020-09-09,188.3970642089844,562.47509765625,1840.697998046875
