,XOM,CVX,COP
2025-04-22,0.02761709363091036,0.02634555384702253,0.024929328841239773
2025-04-23,-0.00862439175010099,-0.004525897357772202,0.001892150790379965
2025-04-24,0.011666728467858434,0.01733496083299535,0.02058073607685884
2025-04-25,-0.000552431305452572,-0.0024478889642045587,-0.000871891042407924
2025-04-28,0.000552431305452572,0.009827043634924593,0.01310605228067896
2025-04-29,-0.00248845623323124,-0.005726594403800078,-0.011363200162640474
2025-04-30,-0.025516659097029937,-0.023533995368851812,-0.030499585577585364
2025-05-01,0.001419013999073293,0.0014688082165283944,0.01702218579425807
2025-05-02,0.004056804296067362,0.01630560989497809,0.008349006847501173
2025-05-05,-0.028071327966099346,-0.021898828772211942,-0.04245970024026313
2025-05-06,0.01384768717263185,0.0007378836959972546,0.00022822716118486852
2025-05-07,-0.000955379938032408,0.001400062126537982,0.0009124773937152497
2025-05-08,0.013860065184247539,0.009163272397696431,0.012575897698644312
2025-05-09,0.01162253513528011,0.010525436857573567,-0.002592863997161743
2025-05-12,0.017092928968152954,0.022349146360202354,0.04069997008674253
2025-05-13,0.0027443605096024726,0.005141411508384763,0.020382668380100277
2025-05-14,-0.008993259061654157,-0.0047883452772632396,-0.017136550155322894
2025-05-15,0.010089412991411528,0.004155840082950668,0.00420419417482254
2025-05-16,-0.003598241292795734,-0.0011251831442065097,-0.0057176703668231355
2025-05-19,-0.016025786834499733,-0.013626216646127176,-0.01362196648489089
2025-05-20,-0.014379203380411987,-0.008848298518906006,-0.00799567043542826
2025-05-21,-0.012367700453801866,-0.012535487613142493,-0.028728486521003127
2025-05-22,-0.0066786356352324106,-0.0019937677622596794,-0.011773122776088663
2025-05-23,0.000582505192953775,0.009196961437117679,-0.010973622195602495
2025-05-27,0.0047445927389162534,0.009403521849850272,0.0042169812057863965
2025-05-28,-0.013714095441158314,-0.013219054567705335,-0.01140323279991673
2025-05-29,0.0056640940291528,0.013799324020014936,0.011987495519193203
